date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
01/03 01:37	29772286	DEMO	1147499	Тен(315) Ара(211) Аше(137) Мор(245) Бру(239)	62044999	Пунь Пунь	1128937	Сиг(205) Нов(213) Сол(249) Гип(213) Тен(249)					Т6-130 О6-130	В6-120	"ГН4 ТК5 ПВ4 ЗС5"	"ШГ2 ПР4  "	https://www.hero-wars.com?replay_id=1772318258162725815	
01/03 01:37	29772286	DEMO	1083690	Гип(225) Маи(209) Тид(208) Нов(217) Сиг(225)	61882154	Виларт	1076153	Мол(202) Мор(209) Вул(152) Ара(207) Тен(306)					В6-130	О6-130 Т6-121	"ШГ5 ТК5  "	"ПВ4 ПР3 ГН3 ЗС4"	https://www.hero-wars.com?replay_id=1772318248716837697	
28/02 21:20	49063796	NeXter	1089474	Игн(204) Тен(280) Ара(204) Аше(197) Мол(204)	61991077	3ve	1000814	Сиг(212) Нов(196) Тид(202) Маи(195) Гип(196)					О6-121	В6-130	"ЛП3 ЗС3  "	"ШГ2 ПД5  "	https://www.hero-wars.com?replay_id=1772302839796118430	
28/02 10:20	29734514	govar	994987	Тен(288) Эде(197) Ара(170) Вер(111) Бру(229)	61882233	2 718	933568	Мол(199) Аше(195) Сол(201) Ара(194) Ияр(145)					Т3-130 Д2-115	О6-124 С1-80	"ГН1 ТК1 ГН1 ЗС1"	"ГН4 ПД2 ЛП1 ЭЭ3"	https://www.hero-wars.com?replay_id=1772263217895557916	
27/02 19:03	61882163	Орел	740293	Игн(154) Ияр(130) Ара(149) Сол(151) Мол(157)	29359089	Ragin Cajun	792529	Мол(157) Вул(140) Ара(183) Тен(169) Игн(144)					О6-114 С4-83	О6-111	"ТП1 ПР4 ШГ1 ПД2"	"   "	https://www.hero-wars.com?replay_id=1772208184375815902	
27/02 14:38	62070560	iCool	768244	Эде(143) Кер(162) Вер(172) Мор(169) Анг(121)	29610380	spo	921756	Сиг(177) Нов(129) Сол(271) Ара(169) Гип(176)					Т6-130 Д4-101	В1-85	"ПВ2 ЗС2 ГС1 ПД1"	"ЛП1 ПД1  "	https://www.hero-wars.com?replay_id=1772192294721461940	
27/02 13:42	61882246	Nergal	1364812	Тен(305) Ияр(241) Сол(312) Мор(239) Риг(267)	29815233	Vizeego	957930	Сиг(184) Нов(181) Тид(173) Сол(239) Гип(181)					С6-130 Т6-130	В6-92	"ЛП4 ЗС3 ГН1 ЭЭ4"	"ЛП1 ПД2  "	https://www.hero-wars.com?replay_id=1772188958257342184	
27/02 13:42	61958839	Бальдр	1121726	Игн(216) Ара(224) Аше(207) Вул(234) Мол(241)	29611547	NlawWithLove 	838396	Мол(177) Вул(131) Ара(191) Эде(149) Игн(191)					О6-130	О4-110	"ТП5 ПД4  "	"ГН1 ПР1  "	https://www.hero-wars.com?replay_id=1772188939984409140	
27/02 08:16	61991077	3ve	891874	Сил(159) Эде(200) Вер(203) Ава(160) Анг(170)	29834944	Hassobar	1006146	Сиг(191) Нов(182) Сол(244) Ияр(203) Гип(185)					Д6-130	В6-107 С6-50	"ГС4 ЭЭ2  "	"ЛП2 ТК2 ГС5 ТК3"	https://www.hero-wars.com?replay_id=1772169418620512672	
27/02 00:37	61882180	Angel	884080	Игн(166) Тен(197) Ара(185) Вул(166) Мол(170)	49063796	NeXter	957699	Анг(158) Сол(284) Эде(175) Ияр(193) Сил(147)					О2-107	Д3-84 С1-56	"ЛП1 ЗС1  "	"ПВ1 ЗС5 ТП1 ТК5"	https://www.hero-wars.com?replay_id=1772141826577340575	
26/02 22:16	62044999	Пунь Пунь	1030542	Гип(213) Маи(209) Тид(191) Нов(213) Сиг(205)	29487221	Metaxe	1106221	Сиг(205) Мор(214) Нов(205) Гип(205) Тен(277)					В6-120	В6-125 Т6-56	"ШГ2 ПР4  "	"   "	https://www.hero-wars.com?replay_id=1772133378579726215	
26/02 22:07	61882196	Wren	1024399	Сил(204) Эде(209) Сол(217) Амо(182) Анг(213)	29654834	Kalkree	1173968	Сиг(214) Бру(244) Маи(200) Гип(214) Тен(302)					Д6-130 С3-110	В6-90 Т6-70	"ЛП4 ТК4 ПВ2 ПР1"	"ШГ5 ПД4 ЛП5 ТК3"	https://www.hero-wars.com?replay_id=1772132865292830168	
26/02 21:56	62044906	Пук Пук	1016742	Тен(211) Ияр(188) Тид(190) Амо(214) Сиг(215)	29772286	DEMO	951247	Бру(239) Мол(209) Кер(110) Ара(211) Игн(183)					В6-130 С4-130	О6-130 Т6-130	"ГС3 ЭЭ3 ГН1 ЗС2"	"ПВ4 ЗС5 ГН4 ТК5"	https://www.hero-wars.com?replay_id=1772132194037775854	
26/02 21:51	62044906	Пук Пук	1020133	Гип(206) Сол(219) Маи(197) Нов(206) Риг(193)	29416152	Johnny Rotten	1185537	Мол(236) Вул(236) Ара(220) Тен(273) Игн(220)					В6-130 С4-130	О6-130	"ГС3 ЭЭ3 ГН1 ЗС2"	"ЛП3 ПР4  "	https://www.hero-wars.com?replay_id=1772131906443615540	
26/02 21:31	61882156	3.14_ZDETS	1083425	Игн(191) Ияр(233) Ара(205) Сол(260) Мол(194)	29706530	7788	1093695	Анг(207) Ава(205) Эде(207) Тен(271) Сил(205)					О6-130 С6-130	Д4-128	"ПВ2 ЗС4 ГН1 ПР4"	"ГС5 ЭЭ3  "	https://www.hero-wars.com?replay_id=1772130695993455352	
26/02 21:28	61882156	3.14_ZDETS	994086	Гип(208) Маи(177) Тид(185) Нов(206) Сиг(218)	29411045	Skynet	1136680	Мол(210) Вул(210) Сол(284) Ара(209) Ияр(224)					В6-130	О6-118 С2-91	"ГС2 ТК4  "	"ЛП1 ПР1 ЛП1 ЗС1"	https://www.hero-wars.com?replay_id=1772130506142334184	
26/02 21:16	61882140	ПасТырЪ	1027624	Тен(303) Эде(112) Вер(167) Мор(206) Бру(240)	29610380	spo	957398	Бру(130) Анг(205) Эде(200) Тен(250) Сил(172)					Т6-130 Д6-130	Д5-123 Т2-64	"ГН5 ТК5 ГС1 ЭЭ4"	"ГН5 ПД2 ГН1 ТК1"	https://www.hero-wars.com?replay_id=1772129798428142524	
26/02 21:09	61882140	ПасТырЪ	1030119	Игн(131) Ияр(220) Ара(196) Сол(289) Мол(194)	29687922	neon	1138240	Анг(221) Вер(199) Кер(208) Эде(216) Тен(294)					О6-130 С6-130	Д6-109 Т6-67	"ПВ3 ПР3 ЛП3 ЗС3"	"ГС4 ПД3 ЛП3 ЗС2"	https://www.hero-wars.com?replay_id=1772129356577081961	
26/02 20:26	62072200	Пух	1012666	Гип(172) Маи(218) Тид(207) Нов(224) Сиг(192)	29676789	Team Ulsch	1063040	Мол(200) Сол(243) Ара(196) Тен(228) Игн(195)					В6-130	О5-130	"ШГ5 ПД4  "	"ТП2 ПР2  "	https://www.hero-wars.com?replay_id=1772126812667722352	
26/02 20:26	62072200	Пух	1017668	Игн(152) Ияр(130) Ара(219) Сол(302) Мол(215)	29834944	Hassobar	1254593	Бру(267) Анг(242) Вер(208) Эде(225) Тен(312)					О6-130 С6-130	Д6-130 Т6-130	"ПВ3 ЗС3 ГС1 ТК2"	"ЛП5 ТК5 ГН4 ПД3"	https://www.hero-wars.com?replay_id=1772126769497805701	
26/02 20:22	61882137	G_G	1010342	Ияр(194) Ара(199) Аше(199) Амо(218) Мол(201)	29499473	Paladin	1155477	Риг(232) Мол(209) Сол(302) Ара(207) Игн(205)					О6-130 С6-130	О6-130 С6-130	"ПВ2 ПР4 ЛП4 ТК5"	"ШГ2 ПР3 ШГ3 ТК5"	https://www.hero-wars.com?replay_id=1772126526919583625	
